! description at the end of the file
! don't change the number of comment lines!
! 
! n_elements
10
! LIST OF ELEMENTS
H
He
C
N
O
Mg
Si
S 
Fe
Pa
!
! (need PAHs 'Pa' as a separate element for stability issues)
!
! n_species
109
! LIST OF SPECIES
!             < Initial     amu chr H  He C  N  O  Mg Si S  Fe Pa
Si+           PAH0                        PAH+          Si                                                        1341  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCO+          PAH0                        PAH+          H             CO                                          1342  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3O+          PAH0                        PAH+          H             H2O                                         1343  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           PAH0                        PAH+          H             H2                                          1344  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3+           PAH0                        PAH+          H             H             H                             1345  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2+           PAH0                        PAH+          H             H                                           1346  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
Mg+           PAH0                        PAH+          Mg                                                        1347  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2+           PAH0                        PAH+          H2                                                        1348  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CS+           PAH0                        PAH+          CS                                                        1349  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH+           PAH0                        PAH+          OH                                                        1350  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
SiH+          PAH0                        PAH+          SiH                                                       1351  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HS+           PAH0                        PAH+          HS                                                        1352  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NO+           PAH0                        PAH+          NO                                                        1353  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH+           PAH0                        PAH+          NH                                                        1354  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH+           PAH0                        PAH+          CH                                                        1355  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CN+           PAH0                        PAH+          CN                                                        1356  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
SO+           PAH0                        PAH+          SO                                                        1357  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O+          PAH0                        PAH+          H2O                                                       1358  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2+          PAH0                        PAH+          NH2                                                       1359  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
N+            PAH0                        PAH+          N                                                         1360  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCN+          PAH0                        PAH+          HCN                                                       1361  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2+          PAH0                        PAH+          CH2                                                       1362  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2S+          PAH0                        PAH+          H2S                                                       1363  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH3+          PAH0                        PAH+          CH3                                                       1364  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O2+           PAH0                        PAH+          O2                                                        1365  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCS+          PAH0                        PAH+          HCS                                                       1366  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OCS+          PAH0                        PAH+          OCS                                                       1367  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2S+          PAH-                        PAH0          H2S                                                       1368  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
HCS+          PAH-                        PAH0          HCS                                                       1369  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
NH+           PAH-                        PAH0          NH                                                        1370  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
NH3+          PAH-                        PAH0          NH3                                                       1371  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
OCS+          PAH-                        PAH0          OCS                                                       1372  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
CH+           PAH-                        PAH0          CH                                                        1373  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
Si+           PAH-                        PAH0          Si                                                        1374  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
SiO+          PAH-                        PAH0          SiO                                                       1375  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
Fe+           PAH-                        PAH0          Fe                                                        1376  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
S+            PAH-                        PAH0          S                                                         1377  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
Mg+           PAH-                        PAH0          Mg                                                        1378  72   8.300e-07   -5.000e-01    0.000e+00    0.000e+00    4.100e+04  ---------
