! description at the end of the file
! don't change the number of comment lines!
! 
! n_elements
10
! LIST OF ELEMENTS
H
He
C
N
O
Mg
Si
S 
Fe
Pa
!
! (need PAHs 'Pa' as a separate element for stability issues)
!
! n_species
109
! LIST OF SPECIES
!             < Initial     amu chr H  He C  N  O  Mg Si S  Fe Pa
HCN           XELECTRON                   HCN+          XELECTRON     e-                                          1293  62   3.900e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CO2           XELECTRON                   CO2+          XELECTRON     e-                                          1294  62   3.900e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2            XELECTRON                   H+            H+            e-            e-            XELECTRON       1295  62   4.550e-02    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
SiH           XELECTRON                   SiH+          XELECTRON     e-                                          1296  62   3.900e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
S             XELECTRON                   S+            XELECTRON     e-                                          1297  62   3.800e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
Si            XELECTRON                   Si+           XELECTRON     e-                                          1298  62   5.300e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2CS          XELECTRON                   H2CS+         XELECTRON     e-                                          1299  62   5.600e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
Fe            XELECTRON                   Fe+           XELECTRON     e-                                          1300  62   3.300e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O           XELECTRON                   H2O+          XELECTRON     e-                                          1301  62   2.400e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O             XELECTRON                   O+            XELECTRON     e-                                          1302  62   1.600e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCS           XELECTRON                   HCS+          XELECTRON     e-                                          1303  62   6.600e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH            XELECTRON                   CH+           XELECTRON     e-                                          1304  62   2.500e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
SO            XELECTRON                   SO+           XELECTRON     e-                                          1305  62   3.900e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CO            XELECTRON                   CO+           XELECTRON     e-                                          1306  62   2.600e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
C             XELECTRON                   C+            XELECTRON     e-                                          1307  62   2.500e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O2            XELECTRON                   O2+           XELECTRON     e-                                          1308  62   2.600e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2S           XELECTRON                   H2S+          XELECTRON     e-                                          1309  62   3.900e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CS            XELECTRON                   CS+           XELECTRON     e-                                          1310  62   4.600e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NO            XELECTRON                   NO+           XELECTRON     e-                                          1311  62   2.500e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCO           XELECTRON                   HCO+          XELECTRON     e-                                          1312  62   3.900e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2           XELECTRON                   CH2+          XELECTRON     e-                                          1313  62   2.700e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
N             XELECTRON                   N+            XELECTRON     e-                                          1314  62   1.900e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH3           XELECTRON                   NH3+          XELECTRON     e-                                          1315  62   3.500e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH            XELECTRON                   OH+           XELECTRON     e-                                          1316  62   2.100e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OCS           XELECTRON                   OCS+          XELECTRON     e-                                          1317  62   5.200e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH3           XELECTRON                   CH3+          XELECTRON     e-                                          1318  62   3.100e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He            XELECTRON                   He+           XELECTRON     e-                                          1319  62   5.000e-01    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CN            XELECTRON                   CN+           XELECTRON     e-                                          1320  62   2.700e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HS            XELECTRON                   HS+           XELECTRON     e-                                          1321  62   4.200e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
SiO           XELECTRON                   SiO+          XELECTRON     e-                                          1322  62   3.400e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2           XELECTRON                   NH2+          XELECTRON     e-                                          1323  62   3.100e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2            XELECTRON                   H2+           XELECTRON     e-                                          1289  61   1.000e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H             XELECTRON                   H+            XELECTRON     e-                                          1288  60   1.000e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
C             CRPHOT                      C+            e-                                                        1237  41   1.300e-17    0.000e+00    2.550e+02    0.000e+00    4.100e+04  ---------
CH            CRPHOT                      C             H                                                         1238  41   1.300e-17    0.000e+00    3.650e+02    0.000e+00    4.100e+04  ---------
CH+           CRPHOT                      C+            H                                                         1239  41   1.300e-17    0.000e+00    8.800e+01    0.000e+00    4.100e+04  ---------
CH2           CRPHOT                      CH2+          e-                                                        1240  41   1.300e-17    0.000e+00    2.500e+02    0.000e+00    4.100e+04  ---------
CH2           CRPHOT                      CH            H                                                         1241  41   1.300e-17    0.000e+00    2.500e+02    0.000e+00    4.100e+04  ---------
NH            CRPHOT                      NH+           e-                                                        1242  41   1.300e-17    0.000e+00    2.500e+02    0.000e+00    4.100e+04  ---------
NH            CRPHOT                      N             H                                                         1243  41   1.300e-17    0.000e+00    2.500e+02    0.000e+00    4.100e+04  ---------
CH3           CRPHOT                      CH3+          e-                                                        1244  41   1.300e-17    0.000e+00    2.500e+02    0.000e+00    4.100e+04  ---------
CH3           CRPHOT                      CH2           H                                                         1245  41   1.300e-17    0.000e+00    2.500e+02    0.000e+00    4.100e+04  ---------
CH3           CRPHOT                      CH            H2                                                        1246  41   1.300e-17    0.000e+00    2.500e+02    0.000e+00    4.100e+04  ---------
NH2           CRPHOT                      NH            H                                                         1247  41   1.300e-17    0.000e+00    4.000e+01    0.000e+00    4.100e+04  ---------
NH2           CRPHOT                      NH2+          e-                                                        1248  41   1.300e-17    0.000e+00    3.240e+02    0.000e+00    4.100e+04  ---------
CH4           CRPHOT                      CH2           H2                                                        1249  41   1.300e-17    0.000e+00    1.170e+03    0.000e+00    4.100e+04  ---------
OH            CRPHOT                      O             H                                                         1250  41   1.300e-17    0.000e+00    2.540e+02    0.000e+00    4.100e+04  ---------
NH3           CRPHOT                      NH3+          e-                                                        1251  41   1.300e-17    0.000e+00    2.880e+02    0.000e+00    4.100e+04  ---------
